customer_id,primary_branch,avg_weekly_cash,historical_cycles,risk_score_0_100,default_prob,churn_prob,recommended_limit_ksh
C0041383,BR006,8112,3,46.94,0.049,0.063,26290
C0020884,BR078,17393,1,13.71,0.09,0.467,38300
C0013622,BR075,3888,2,19.38,0.115,0.653,10086
C0041824,BR013,14862,2,53.09,0.091,0.437,34914
C0033840,BR050,13672,3,25.81,0.071,0.099,49071
C0027248,BR064,4699,1,15.37,0.195,0.189,11783
C0040089,BR003,4371,3,9.93,0.098,0.146,11801
C0050095,BR046,8695,4,35.32,0.024,0.36,37075
C0015150,BR017,18603,3,52.09,0.107,0.319,60000
C0014332,BR064,3453,2,42.81,0.276,0.179,13955
C0032524,BR092,16700,3,16.23,0.202,0.265,48489
C0030699,BR014,8753,3,10.04,0.074,0.208,38057
C0016589,BR037,8563,6,38.82,0.251,0.273,30582
C0035366,BR074,10252,5,40.97,0.136,0.422,29863
C0055221,BR044,9668,4,27.98,0.15,0.292,43778
C0024042,BR077,7489,1,31.37,0.329,0.414,22775
C0028993,BR089,17663,2,14.68,0.077,0.18,60000
C0054440,BR042,17082,5,35.68,0.177,0.172,44250
C0033194,BR070,12395,4,19.53,0.121,0.153,42679
C0052810,BR036,7576,3,62.65,0.249,0.398,37249
C0034014,BR083,16924,5,6.17,0.025,0.595,50735
C0050790,BR092,12992,5,14.69,0.324,0.419,47037
C0001029,BR016,14912,6,51.97,0.022,0.162,38297
C0008944,BR031,9003,6,14.09,0.187,0.384,20360
C0019011,BR055,14021,2,59.47,0.505,0.45,44708
C0012741,BR025,12188,2,4.77,0.177,0.648,28092
C0058963,BR058,9353,4,33.31,0.156,0.534,26206
C0005494,BR017,13713,1,24.93,0.371,0.048,56292
C0031637,BR088,6877,5,31.0,0.247,0.6,30270
C0048313,BR016,7074,0,15.44,0.383,0.295,19884
C0035652,BR073,9309,1,48.75,0.277,0.4,28214
C0006738,BR048,6088,2,6.12,0.257,0.302,29273
C0038030,BR030,3394,5,35.19,0.14,0.199,6996
C0045363,BR071,13252,1,13.46,0.179,0.262,48390
C0042253,BR012,14750,2,41.61,0.332,0.264,46040
C0010348,BR005,12150,3,29.37,0.034,0.22,58914
C0056062,BR037,19118,4,23.47,0.353,0.416,55993
C0026560,BR022,7665,2,30.92,0.178,0.195,20784
C0014159,BR088,17279,4,7.22,0.322,0.361,60000
C0018393,BR083,3747,5,40.8,0.004,0.309,13479
C0025743,BR068,10343,3,26.17,0.163,0.156,25604
C0027769,BR035,11246,3,23.96,0.094,0.612,29028
C0047110,BR001,9904,5,15.95,0.17,0.6,39311
C0016047,BR001,2476,5,32.37,0.079,0.358,6614
C0050015,BR017,5353,1,41.9,0.421,0.126,20562
C0010333,BR037,3576,5,16.35,0.15,0.178,9795
C0012567,BR056,15418,3,51.37,0.025,0.056,50438
C0010526,BR072,13296,4,30.63,0.353,0.095,60000
C0057757,BR092,5701,6,13.86,0.181,0.329,23697
C0038978,BR046,10494,3,41.21,0.459,0.105,34795
C0016672,BR038,15055,3,38.7,0.068,0.162,49672
C0005196,BR015,18390,3,27.56,0.263,0.232,60000
C0054401,BR031,7232,3,33.51,0.505,0.113,21265
