date,branch_id,region,recruited_today,disbursed_amount_ksh,daily_dues_ksh,collected_ksh,missed_calls,arrears_new_ksh,par_percent,daily_target_ksh
2024-11-01,BR001,Eastern,6,13412,35408,23981,1,0,3.08,1100000
2024-11-02,BR001,Eastern,4,7225,29473,27950,1,0,2.69,1100000
2024-11-03,BR001,Eastern,6,7337,30404,21297,2,0,3.33,1100000
2024-11-04,BR001,Eastern,12,8514,35688,28588,2,2,5.0,1100000
2024-11-05,BR001,Eastern,10,12964,41424,41564,3,2,5.81,1100000
2024-11-06,BR001,Eastern,4,7675,35410,36940,4,1,1.72,1100000
2024-11-07,BR001,Eastern,6,5340,29393,29759,4,1,5.67,1100000
2024-11-08,BR001,Eastern,8,7900,39844,39312,3,1,1.45,1100000
2024-11-09,BR001,Eastern,4,4578,39542,29186,0,1,3.42,1100000
2024-11-10,BR001,Eastern,6,4642,35512,33065,3,1,0.66,1100000
2024-11-11,BR001,Eastern,10,10355,38110,28670,1,5,4.28,1100000
2024-11-12,BR001,Eastern,6,17177,34922,29688,0,0,5.6,1100000
2024-11-13,BR001,Eastern,4,10880,38654,26912,4,0,2.09,1100000
2024-11-14,BR001,Eastern,0,14700,35977,32219,0,1,1.72,1100000
2024-11-15,BR001,Eastern,12,6950,32911,23780,3,0,1.81,1100000
2024-11-16,BR001,Eastern,14,12068,31816,32158,2,2,3.8,1100000
2024-11-17,BR001,Eastern,10,10185,31416,24714,1,0,4.99,1100000
2024-11-18,BR001,Eastern,10,7220,29457,23881,4,0,3.3,1100000
2024-11-19,BR001,Eastern,2,12531,31652,31647,0,1,5.7,1100000
2024-11-20,BR001,Eastern,10,8457,32030,23212,2,0,2.02,1100000
2024-11-21,BR001,Eastern,12,12037,34650,35988,0,1,4.99,1100000
2024-11-22,BR001,Eastern,2,6497,42533,29166,3,0,5.34,1100000
2024-11-23,BR001,Eastern,10,7670,29826,28090,3,1,4.04,1100000
2024-11-24,BR001,Eastern,12,6928,32805,21560,2,0,2.66,1100000
2024-11-25,BR001,Eastern,6,19625,29842,22976,3,1,1.95,1100000
2024-11-26,BR001,Eastern,4,11342,35662,25980,1,2,1.46,1100000
2024-11-27,BR001,Eastern,6,13765,42106,39308,6,2,1.72,1100000
2024-11-28,BR001,Eastern,6,8120,35981,35455,1,0,3.91,1100000
2024-11-29,BR001,Eastern,8,28148,38755,33786,1,2,1.76,1100000
2024-11-30,BR001,Eastern,12,7410,29351,27472,1,2,1.43,1100000
2024-12-01,BR001,Eastern,6,4877,32835,26261,1,0,3.76,1100000
2024-12-02,BR001,Eastern,10,7225,36406,30427,2,3,2.76,1100000
2024-12-03,BR001,Eastern,6,7337,42347,35567,0,0,3.75,1100000
2024-12-04,BR001,Eastern,2,7662,29640,20050,3,1,5.05,1100000
2024-12-05,BR001,Eastern,0,12964,42790,29615,0,3,0.93,1100000
2024-12-06,BR001,Eastern,6,9210,41409,37122,0,1,3.84,1100000
2024-12-07,BR001,Eastern,10,7787,29661,30426,2,1,2.25,1100000
2024-12-08,BR001,Eastern,6,5642,39900,35681,1,1,0.71,1100000
2024-12-09,BR001,Eastern,6,8012,43569,28471,1,2,0.8,1100000
2024-12-10,BR001,Eastern,10,6964,34713,29972,2,2,1.64,1100000
2024-12-11,BR001,Eastern,6,8472,40879,27884,1,2,4.27,1100000
2024-12-12,BR001,Eastern,18,5725,33159,33696,2,1,2.18,1100000
2024-12-13,BR001,Eastern,12,15716,41689,35752,3,2,1.57,1100000
2024-12-14,BR001,Eastern,18,23520,39931,39709,4,0,3.67,1100000
2024-12-15,BR001,Eastern,6,7446,35805,31226,0,3,1.83,1100000
2024-12-16,BR001,Eastern,4,6034,43934,33605,0,1,2.41,1100000
2024-12-17,BR001,Eastern,8,21390,34150,30889,1,1,4.54,1100000
2024-12-18,BR001,Eastern,14,9025,30395,21834,2,0,4.39,1100000
2024-12-19,BR001,Eastern,14,15664,31584,26684,3,1,5.12,1100000
2024-12-20,BR001,Eastern,2,8457,34447,27396,0,1,0.82,1100000
2024-12-21,BR001,Eastern,10,10700,35934,32340,1,0,4.29,1100000
