officer_id,branch_id,month,loans_handled,approvals,arrears_recovered_ksh,fraud_hits
OF000001,BR001,2024-01,10,9,223116.7,0
OF000001,BR001,2024-02,17,16,208912.71,0
OF000001,BR001,2024-03,12,10,198698.87,0
OF000001,BR001,2024-04,14,12,426824.16,0
OF000001,BR001,2024-05,14,12,430701.07,0
OF000001,BR001,2024-06,15,14,444559.07,0
OF000001,BR001,2024-07,14,13,314500.78,0
OF000001,BR001,2024-08,17,15,231194.91,0
OF000001,BR001,2024-09,12,11,179277.34,0
OF000001,BR001,2024-10,17,14,82306.95,0
OF000001,BR001,2024-11,15,13,398051.7,0
OF000001,BR001,2024-12,14,12,219930.48,0
OF000002,BR001,2024-01,18,16,90134.57,0
OF000002,BR001,2024-02,18,16,54013.07,0
OF000002,BR001,2024-03,11,10,274827.31,0
OF000002,BR001,2024-04,19,16,241147.07,0
OF000002,BR001,2024-05,12,10,210793.81,0
OF000002,BR001,2024-06,18,15,291257.09,0
OF000002,BR001,2024-07,18,15,271116.29,0
OF000002,BR001,2024-08,15,12,245265.33,0
OF000002,BR001,2024-09,11,9,246992.3,0
OF000002,BR001,2024-10,14,11,149080.55,0
OF000002,BR001,2024-11,12,10,425063.56,0
OF000002,BR001,2024-12,11,10,470649.04,0
OF000003,BR001,2024-01,16,14,119874.04,0
OF000003,BR001,2024-02,16,13,200719.58,0
OF000003,BR001,2024-03,20,18,280644.15,1
OF000003,BR001,2024-04,20,17,297686.28,0
OF000003,BR001,2024-05,12,11,86479.26,0
OF000003,BR001,2024-06,15,14,349754.59,0
OF000003,BR001,2024-07,12,11,200926.0,0
OF000003,BR001,2024-08,13,12,318133.24,0
OF000003,BR001,2024-09,15,14,295272.97,0
OF000003,BR001,2024-10,12,11,229103.17,0
OF000003,BR001,2024-11,15,13,488657.27,0
OF000003,BR001,2024-12,15,13,448422.89,0
OF000004,BR001,2024-01,15,14,260381.43,0
OF000004,BR001,2024-02,14,12,427493.07,0
OF000004,BR001,2024-03,18,17,378033.6,0
OF000004,BR001,2024-04,18,16,439733.74,1
OF000004,BR001,2024-05,10,9,114399.05,0
OF000004,BR001,2024-06,14,12,355811.95,0
OF000004,BR001,2024-07,15,12,403996.15,0
OF000004,BR001,2024-08,16,15,245714.03,0
OF000004,BR001,2024-09,10,9,145182.98,0
OF000004,BR001,2024-10,13,11,363262.27,0
OF000004,BR001,2024-11,12,11,171161.05,0
OF000004,BR001,2024-12,15,14,263093.73,0
OF000005,BR001,2024-01,15,14,237300.82,0
OF000005,BR001,2024-02,12,10,394192.6,0
OF000005,BR001,2024-03,12,10,358243.14,1
OF000005,BR001,2024-04,12,10,59439.92,0
OF000005,BR001,2024-05,19,17,169021.46,0
OF000005,BR001,2024-06,13,12,125209.96,0
OF000005,BR001,2024-07,17,16,471316.13,0
OF000005,BR001,2024-08,19,18,272188.04,0
OF000005,BR001,2024-09,14,13,326772.07,0
OF000005,BR001,2024-10,15,13,58103.1,0
OF000005,BR001,2024-11,14,12,391473.63,0
OF000005,BR001,2024-12,13,12,290708.7,0
OF000006,BR002,2024-01,11,9,71738.08,0
OF000006,BR002,2024-02,9,7,201622.87,0
OF000006,BR002,2024-03,8,7,490371.11,0
OF000006,BR002,2024-04,9,7,193149.93,0
OF000006,BR002,2024-05,10,9,385996.5,0
OF000006,BR002,2024-06,7,6,146592.69,0
OF000006,BR002,2024-07,9,8,228308.24,1
OF000006,BR002,2024-08,10,8,388975.93,0
OF000006,BR002,2024-09,11,9,393423.23,0
OF000006,BR002,2024-10,8,7,381605.84,0
OF000006,BR002,2024-11,10,9,237342.87,0
OF000006,BR002,2024-12,7,6,439542.45,0
OF000007,BR002,2024-01,6,5,401836.05,0
OF000007,BR002,2024-02,5,4,67963.04,0
OF000007,BR002,2024-03,5,4,123141.36,0
OF000007,BR002,2024-04,4,3,470231.15,0
OF000007,BR002,2024-05,6,5,84349.7,0
OF000007,BR002,2024-06,5,4,55004.01,0
OF000007,BR002,2024-07,4,3,201391.59,0
OF000007,BR002,2024-08,5,4,267250.43,0
OF000007,BR002,2024-09,7,6,175599.14,0
OF000007,BR002,2024-10,4,3,473922.54,0
OF000007,BR002,2024-11,6,5,457477.81,0
OF000007,BR002,2024-12,4,3,453229.31,2
OF000008,BR002,2024-01,10,9,50878.26,0
OF000008,BR002,2024-02,8,7,381554.93,0
OF000008,BR002,2024-03,8,7,74901.3,0
OF000008,BR002,2024-04,6,5,477772.24,0
OF000008,BR002,2024-05,5,4,149732.04,0
OF000008,BR002,2024-06,6,5,497029.24,0
OF000008,BR002,2024-07,9,7,90045.1,0
OF000008,BR002,2024-08,8,7,467633.03,0
OF000008,BR002,2024-09,6,5,185235.76,0
OF000008,BR002,2024-10,5,4,85767.21,1
OF000008,BR002,2024-11,6,5,481859.99,1
OF000008,BR002,2024-12,6,5,490179.72,0
OF000009,BR002,2024-01,10,9,287010.64,0
OF000009,BR002,2024-02,7,6,348620.73,0
OF000009,BR002,2024-03,9,8,303626.65,0
OF000009,BR002,2024-04,12,10,429248.25,0
OF000009,BR002,2024-05,9,8,346465.2,0
OF000009,BR002,2024-06,9,8,202400.31,1
OF000009,BR002,2024-07,6,5,185552.16,0
OF000009,BR002,2024-08,7,6,122587.02,0
OF000009,BR002,2024-09,8,7,209851.53,0
OF000009,BR002,2024-10,7,6,452139.61,0
OF000009,BR002,2024-11,7,6,55458.86,0
OF000009,BR002,2024-12,8,7,171861.41,0
OF000010,BR002,2024-01,9,7,287593.49,0
OF000010,BR002,2024-02,9,8,255815.76,1
OF000010,BR002,2024-03,6,5,203235.73,0
OF000010,BR002,2024-04,12,11,262056.78,0
OF000010,BR002,2024-05,9,8,246802.65,0
OF000010,BR002,2024-06,8,7,61673.82,0
OF000010,BR002,2024-07,11,10,295854.15,0
OF000010,BR002,2024-08,10,9,126634.75,0
OF000010,BR002,2024-09,8,7,264151.44,0
OF000010,BR002,2024-10,10,9,97177.85,0
OF000010,BR002,2024-11,10,9,485008.41,0
OF000010,BR002,2024-12,10,9,191466.07,0
OF000011,BR002,2024-01,10,8,269103.74,0
OF000011,BR002,2024-02,10,8,463677.33,0
OF000011,BR002,2024-03,9,8,353697.25,0
OF000011,BR002,2024-04,6,5,77183.91,0
OF000011,BR002,2024-05,7,6,213642.76,0
OF000011,BR002,2024-06,6,5,232388.56,0
OF000011,BR002,2024-07,10,9,340913.7,0
